from,to,year,tidligere_kommunenavn
413,412,1964,Furnes
414,412,1964,Vang (Hedmark)
414,414,1964,Vang (Hedmark)
416,417,1964,Romedal
417,417,1964,Stange
402,421,1964,Kongsvinger
421,421,1964,Vinger
422,421,1964,Brandval
501,501,1964,Lillehammer
524,501,1964,Fåberg
502,502,1964,Gjøvik
525,502,1964,Biri
526,502,1964,Snertingdal
527,502,1964,Vardal
528,528,1964,Østre Toten
531,528,1964,Kolbu
527,529,1964,Vardal
529,529,1964,Vestre Toten
530,529,1964,Eina
534,529,1964,Gran
534,534,1964,Gran
601,601,1964,Hønefoss
611,601,1964,Tyristrand
612,601,1964,Hole
613,601,1964,Norderhov
614,601,1964,Ådal
622,601,1964,Krødsherad
602,602,1964,Drammen
712,602,1964,Skoger
604,604,1964,Kongsberg
629,604,1964,Ytre Sandsvær
630,604,1964,Øvre Sandsvær
824,604,1964,Gransherad
622,622,1964,Krødsherad
702,702,1964,Holmestrand
715,702,1964,Botne
701,711,1964,Svelvik
711,711,1964,Strømmen
726,726,1964,Brunlanes
727,727,1964,Hedrum
726,805,1964,Brunlanes
727,805,1964,Hedrum
804,805,1964,Brevik
805,805,1964,Porsgrunn
813,805,1964,Eidanger
806,806,1964,Skien
812,806,1964,Gjerpen
818,806,1964,Solum
819,806,1964,Holla
807,807,1964,Notodden
823,807,1964,Heddal
824,807,1964,Gransherad
825,807,1964,Hovin
802,814,1964,Langesund
803,814,1964,Stathelle
814,814,1964,Bamble
819,819,1964,Holla
820,819,1964,Lunde
825,826,1964,Hovin
826,826,1964,Tinn
832,833,1964,Mo (Telemark)
833,833,1964,Lårdal
834,834,1964,Vinje (Telemark)
835,834,1964,Rauland
901,901,1964,Risør
913,901,1964,Søndeled
1002,1002,1964,Mandal
1019,1002,1964,Halse og Harkmark
1020,1002,1964,Holum
1014,1014,1964,Vennesla
1015,1014,1964,Hægeland
1016,1014,1964,Øvrebø
1016,1017,1964,Øvrebø
1017,1017,1964,Greipstad
1023,1017,1964,Finsland
1018,1018,1964,Søgne
1020,1018,1964,Holum
1021,1021,1964,Øyslebø
1022,1021,1964,Laudal
1023,1021,1964,Finsland
1024,1021,1964,Bjelland
1024,1027,1964,Bjelland
1025,1027,1964,Grindheim
1027,1027,1964,Konsmo
1028,1029,1964,Vigmostad
1029,1029,1964,Sør-Audnedal
1030,1029,1964,Spangereid
1117,1119,1964,Ogna
1118,1119,1964,Varhaug
1119,1119,1964,Nærbø
1154,1154,1964,Skjold
1214,1214,1964,Ølen
1215,1214,1964,Vikebygd
1154,1216,1964,Skjold
1215,1216,1964,Vikebygd
1216,1216,1964,Sveio
1217,1216,1964,Valestrand
1222,1222,1964,Fitjar
1228,1228,1964,Odda
1229,1228,1964,Røldal
1230,1230,1964,Ullensvang
1231,1230,1964,Kinsarvik
1232,1230,1964,Eidfjord
1235,1235,1964,Voss
1236,1235,1964,Vossestrand
1237,1235,1964,Evanger
1239,1241,1964,Hålandsdal
1240,1241,1964,Strandvik
1241,1241,1964,Fusa
1222,1244,1964,Fitjar
1244,1244,1964,Austevoll
1246,1246,1964,Fjell
1258,1246,1964,Herdla
1247,1247,1964,Askøy
1256,1247,1964,Meland
1258,1247,1964,Herdla
1250,1250,1964,Haus
1237,1251,1964,Evanger
1251,1251,1964,Bruvik
1252,1251,1964,Modalen
1252,1252,1964,Modalen
1250,1253,1964,Haus
1251,1253,1964,Bruvik
1253,1253,1964,Hosanger
1254,1253,1964,Hamre
1254,1256,1964,Hamre
1256,1256,1964,Meland
1258,1256,1964,Herdla
1262,1256,1964,Sæbø
1258,1259,1964,Herdla
1259,1259,1964,Hjelme
1258,1260,1964,Herdla
1260,1260,1964,Hordabø
1261,1260,1964,Manger
1262,1260,1964,Sæbø
1263,1260,1964,Lindås
1264,1260,1964,Austrheim
1252,1263,1964,Modalen
1253,1263,1964,Hosanger
1254,1263,1964,Hamre
1257,1263,1964,Alversund
1262,1263,1964,Sæbø
1263,1263,1964,Lindås
1264,1264,1964,Austrheim
1401,1401,1964,Florø
1434,1401,1964,Vevring
1435,1401,1964,Eikefjord
1436,1401,1964,Bru
1437,1401,1964,Kinn
1438,1401,1964,Bremanger
1411,1411,1964,Gulen
1414,1411,1964,Brekke
1415,1416,1964,Lavik
1416,1416,1964,Kyrkjebø
1417,1416,1964,Vik (Sogn og Fjordane)
1417,1417,1964,Vik (Sogn og Fjordane)
1418,1417,1964,Balestrand
1417,1418,1964,Vik (Sogn og Fjordane)
1418,1418,1964,Balestrand
1418,1419,1964,Balestrand
1419,1419,1964,Leikanger
1422,1422,1964,Lærdal
1423,1422,1964,Borgund (Sogn og Fjordane)
1424,1422,1964,Årdal (Sogn og Fjordane)
1424,1424,1964,Årdal (Sogn og Fjordane)
1428,1428,1964,Askvoll
1434,1428,1964,Vevring
1436,1428,1964,Bru
1433,1433,1964,Naustdal
1434,1433,1964,Vevring
1438,1438,1964,Bremanger
1439,1439,1964,Sør-Vågsøy
1440,1439,1964,Nord-Vågsøy
1441,1439,1964,Selje
1442,1439,1964,Davik
1442,1441,1964,Davik
1442,1442,1964,Davik
1445,1445,1964,Gloppen
1446,1445,1964,Breim
1502,1502,1964,Molde
1541,1502,1964,Veøy
1544,1502,1964,Bolsøy
1547,1502,1964,Nord-Aukra
1503,1503,1964,Kristiansund
1554,1503,1964,Bremsnes
1555,1503,1964,Grip
1511,1511,1964,Vanylven
1512,1511,1964,Syvde
1513,1511,1964,Rovde
1513,1514,1964,Rovde
1514,1514,1964,Sande (Møre og Romsdal)
1515,1514,1964,Herøy (Møre og Romsdal)
1515,1515,1964,Herøy (Møre og Romsdal)
1515,1516,1964,Herøy (Møre og Romsdal)
1516,1516,1964,Ulstein
1518,1519,1964,Dalsfjord
1519,1519,1964,Volda
1520,1520,1964,Ørsta
1521,1520,1964,Vartdal
1522,1520,1964,Hjørundfjord
1532,1532,1964,Giske
1533,1532,1964,Vigra
1535,1535,1964,Vestnes
1536,1535,1964,Tresfjord
1537,1539,1964,Voll
1538,1539,1964,Eid (Møre og Romsdal)
1539,1539,1964,Grytten
1540,1539,1964,Hen
1541,1539,1964,Veøy
1542,1543,1964,Eresfjord og Vistdal
1543,1543,1964,Nesset
1547,1547,1964,Nord-Aukra
1548,1548,1964,Fræna
1549,1548,1964,Bud
1550,1548,1964,Hustad (Møre og Romsdal)
1552,1554,1964,Kornstad
1553,1554,1964,Kvernes
1554,1554,1964,Bremsnes
1554,1556,1964,Bremsnes
1556,1556,1964,Frei
1556,1560,1964,Frei
1559,1560,1964,Straumsnes
1560,1560,1964,Tingvoll
1601,1601,1964,Trondhjem
1654,1601,1964,Leinstrand
1655,1601,1964,Byneset
1660,1601,1964,Strinda
1661,1601,1964,Tiller
1611,1612,1964,Vinje (Sør-Trøndelag)
1612,1612,1964,Hemne
1614,1612,1964,Heim
1613,1613,1964,Snillfjord
1614,1613,1964,Heim
1622,1613,1964,Agdenes
1615,1617,1964,Sandstad
1616,1617,1964,Fillan
1617,1617,1964,Hitra
1618,1617,1964,Kvenvær
1619,1620,1964,Sør-Frøya
1620,1620,1964,Nord-Frøya
1622,1622,1964,Agdenes
1623,1622,1964,Lensvik
1625,1622,1964,Stadsbygd
1624,1624,1964,Rissa
1625,1624,1964,Stadsbygd
1626,1624,1964,Stjørna
1626,1627,1964,Stjørna
1627,1627,1964,Bjugn
1628,1627,1964,Nes (Sør-Trøndelag)
1629,1627,1964,Jøssund
1630,1630,1964,Åfjord
1631,1630,1964,Stoksund
1640,1640,1964,Røros bergstad
1641,1640,1964,Røros landsogn
1642,1640,1964,Brekken
1643,1640,1964,Glåmos
1646,1640,1964,Singsås
1647,1640,1964,Budal
1649,1640,1964,Soknedal
1648,1648,1964,Støren
1650,1653,1964,Horg
1651,1653,1964,Hølonda
1652,1653,1964,Flå (Sør-Trøndelag)
1653,1653,1964,Melhus
1656,1653,1964,Buvik
1656,1656,1964,Buvik
1702,1702,1964,Steinkjer
1727,1702,1964,Beitstad
1731,1702,1964,Sparbu
1732,1702,1964,Ogndal
1733,1702,1964,Egge
1734,1702,1964,Stod
1735,1702,1964,Kvam (Nord-Trøndelag)
1703,1703,1964,Namsos
1745,1703,1964,Vemundvik
1746,1703,1964,Klinga
1747,1703,1964,Otterøy
1748,1703,1964,Fosnes
1719,1719,1964,Levanger
1722,1719,1964,Ytterøy
1724,1724,1964,Verran
1726,1724,1964,Malm
1725,1725,1964,Namdalseid
1747,1725,1964,Otterøy
1737,1738,1964,Sørli
1738,1738,1964,Nordli
1741,1742,1964,Harran
1742,1742,1964,Grong
1743,1743,1964,Høylandet
1753,1743,1964,Foldereid
1748,1748,1964,Fosnes
1751,1751,1964,Nærøy
1752,1751,1964,Kolvereid
1753,1751,1964,Foldereid
1754,1751,1964,Gravvik
1811,1811,1964,Bindal
1801,1814,1964,Brønnøysund
1811,1814,1964,Bindal
1812,1814,1964,Sømna
1813,1814,1964,Velfjord
1814,1814,1964,Brønnøy
1817,1817,1964,Tjøtta
1817,1822,1964,Tjøtta
1822,1822,1964,Leirfjord
1828,1822,1964,Nesna
1826,1826,1964,Hattfjelldal
1828,1828,1964,Nesna
1826,1832,1964,Hattfjelldal
1830,1832,1964,Korgen
1831,1832,1964,Sør-Rana
1832,1832,1964,Hemnes
1803,1833,1964,Mo (Nordland)
1828,1833,1964,Nesna
1831,1833,1964,Sør-Rana
1833,1833,1964,Nord-Rana
1843,1843,1964,Bodin
1844,1843,1964,Kjerringøy
1845,1843,1964,Sørfold
1845,1845,1964,Sørfold
1844,1848,1964,Kjerringøy
1846,1848,1964,Norfold
1847,1848,1964,Leiranger
1848,1848,1964,Steigen
1849,1848,1964,Hamarøy
1849,1849,1964,Hamarøy
1851,1851,1964,Lødingen
1851,1852,1964,Lødingen
1852,1852,1964,Tjeldsund
1853,1852,1964,Evenes
1853,1853,1964,Evenes
1858,1858,1964,Moskenes
1859,1858,1964,Flakstad
1806,1865,1964,Svolvær
1864,1865,1964,Gimsøy
1865,1865,1964,Vågan
1868,1868,1964,Øksnes
1869,1868,1964,Langenes
1871,1871,1964,Bjørnskinn
1872,1871,1964,Dverberg
1873,1871,1964,Andenes
1901,1901,1964,Harstad
1912,1901,1964,Sandtorg
1914,1901,1964,Trondenes
1902,1902,1964,Tromsø
1930,1902,1964,Hillesøy
1934,1902,1964,Tromsøysund
1937,1902,1964,Ullsfjord
1913,1913,1964,Skånland
1918,1913,1964,Astafjord
1915,1915,1964,Bjarkøy
1913,1917,1964,Skånland
1916,1917,1964,Andørja
1917,1917,1964,Ibestad
1920,1921,1964,Lavangen
1921,1921,1964,Salangen
1923,1924,1964,Øverbygd
1924,1924,1964,Målselv
1932,1924,1964,Malangen
1933,1924,1964,Balsfjord
1925,1925,1964,Sørreisa
1926,1926,1964,Dyrøy
1927,1926,1964,Tranøy
1915,1927,1964,Bjarkøy
1927,1927,1964,Tranøy
1928,1927,1964,Torsken
1928,1928,1964,Torsken
1925,1931,1964,Sørreisa
1927,1931,1964,Tranøy
1930,1931,1964,Hillesøy
1931,1931,1964,Lenvik
1932,1933,1964,Malangen
1933,1933,1964,Balsfjord
1935,1936,1964,Helgøy
1936,1936,1964,Karlsøy
1936,1938,1964,Karlsøy
1937,1938,1964,Ullsfjord
1938,1938,1964,Lyngen
2003,2003,1964,Vadsø
2029,2003,1964,Nord-Varanger
2012,2012,1964,Alta
2013,2012,1964,Talvik
2020,2020,1964,Kistrand
2025,2025,1964,Tana
2026,2025,1964,Polmak
421,402,1965,Kongsvinger
430,430,1965,Stor-Elvdal
431,430,1965,Sollia
432,432,1965,Ytre Rendal
433,432,1965,Øvre Rendal
515,515,1965,Vågå
515,517,1965,Vågå
516,517,1965,Heidal
517,517,1965,Sel
518,517,1965,Nord-Fron
518,518,1965,Nord-Fron
704,717,1965,Åsgårdstrand
717,717,1965,Borre
721,717,1965,Sem
721,721,1965,Sem
1001,1001,1965,Kristiansand
1011,1001,1965,Randesund
1012,1001,1965,Oddernes
1013,1001,1965,Tveit
1003,1003,1965,Farsund
1039,1003,1965,Herad
1040,1003,1965,Spind
1041,1003,1965,Lista
1004,1004,1965,Flekkefjord
1042,1004,1965,Hidra
1043,1004,1965,Nes (Vest-Agder)
1044,1004,1965,Gyland
1045,1004,1965,Bakke
1101,1101,1965,Egersund
1113,1101,1965,Heskestad
1115,1101,1965,Helleland
1116,1101,1965,Eigersund
1102,1102,1965,Sandnes
1123,1102,1965,Høyland
1126,1102,1965,Hetland
1128,1102,1965,Høle
1103,1103,1965,Stavanger
1125,1103,1965,Madla
1126,1103,1965,Hetland
1106,1106,1965,Haugesund
1152,1106,1965,Torvastad
1112,1112,1965,Lund
1113,1112,1965,Heskestad
1114,1114,1965,Bjerkreim
1114,1122,1965,Bjerkreim
1122,1122,1965,Gjesdal
1128,1122,1965,Høle
1129,1122,1965,Forsand
1129,1129,1965,Forsand
1130,1130,1965,Strand
1131,1130,1965,Årdal (Rogaland)
1131,1133,1965,Årdal (Rogaland)
1132,1133,1965,Fister
1133,1133,1965,Hjelmeland
1138,1133,1965,Jelsa
1134,1134,1965,Suldal
1136,1134,1965,Sand (Rogaland)
1137,1134,1965,Erfjord
1138,1134,1965,Jelsa
1156,1134,1965,Imsland
1132,1141,1965,Fister
1138,1141,1965,Jelsa
1140,1141,1965,Sjernarøy
1141,1141,1965,Finnøy
1142,1142,1965,Rennesøy
1143,1142,1965,Mosterøy
1139,1146,1965,Nedstrand
1146,1146,1965,Tysvær
1147,1146,1965,Avaldsnes
1154,1146,1965,Skjold
1155,1146,1965,Vats
1157,1146,1965,Vikedal
1104,1149,1965,Skudeneshavn
1105,1149,1965,Kopervik
1147,1149,1965,Avaldsnes
1148,1149,1965,Stangaland
1149,1149,1965,Åkra
1150,1149,1965,Skudenes
1152,1149,1965,Torvastad
1154,1154,1965,Skjold
1155,1154,1965,Vats
1156,1154,1965,Imsland
1157,1154,1965,Vikedal
1158,1154,1965,Sandeid
1211,1211,1965,Etne
1212,1211,1965,Skånevik
1212,1224,1965,Skånevik
1213,1224,1965,Fjelberg
1224,1224,1965,Kvinnherad
1225,1224,1965,Varaldsøy
1226,1227,1965,Strandebarm
1227,1227,1965,Jondal
1225,1238,1965,Varaldsøy
1226,1238,1965,Strandebarm
1227,1238,1965,Jondal
1238,1238,1965,Kvam (Hordaland)
1438,1438,1965,Bremanger
1442,1438,1965,Davik
1442,1443,1965,Davik
1443,1443,1965,Eid (Sogn og Fjordane)
1444,1443,1965,Hornindal
1445,1445,1965,Gloppen
1444,1448,1965,Hornindal
1445,1448,1965,Gloppen
1447,1448,1965,Innvik
1448,1448,1965,Stryn
1523,1525,1965,Sunnylven
1525,1525,1965,Stranda
1526,1527,1965,Stordal
1527,1527,1965,Ørskog
1529,1527,1965,Skodje
1531,1531,1965,Borgund (Møre og Romsdal)
1530,1534,1965,Vatne
1531,1534,1965,Borgund (Møre og Romsdal)
1534,1534,1965,Haram
1530,1545,1965,Vatne
1545,1545,1965,Sør-Aukra
1534,1546,1965,Haram
1546,1546,1965,Sandøy
1547,1547,1965,Nord-Aukra
1557,1557,1965,Gjemnes
1558,1557,1965,Øre
1560,1557,1965,Tingvoll
1560,1560,1965,Tingvoll
1564,1566,1965,Stangvik
1565,1566,1965,Åsskard
1566,1566,1965,Surnadal
1568,1569,1965,Stemshaug
1569,1569,1965,Aure
1570,1569,1965,Valsøyfjord
1572,1569,1965,Tustna
1570,1571,1965,Valsøyfjord
1571,1571,1965,Halsa
1572,1572,1965,Tustna
1656,1657,1965,Buvik
1657,1657,1965,Skaun
1658,1657,1965,Børsa
1817,1820,1965,Tjøtta
1820,1820,1965,Alstahaug
1821,1820,1965,Sandnessjøen
221,221,1966,Søndre Høland
222,221,1966,Nordre Høland
223,221,1966,Setskog
224,221,1966,Aurskog
435,435,1966,Os (Hedmark)
436,435,1966,Tolga
437,437,1966,Tynset
440,437,1966,Kvikne
518,518,1966,Nord-Fron
519,518,1966,Sør-Fron
440,1635,1966,Kvikne
1635,1635,1966,Rennebu
101,101,1967,Halden
116,101,1967,Berg (Østfold)
117,101,1967,Idd
919,919,1967,Froland
932,919,1967,Mykland
928,928,1967,Birkenes
933,928,1967,Herefoss
934,928,1967,Vegusdal
929,929,1967,Åmli
931,929,1967,Tovdal
706,706,1968,Sandefjord
724,706,1968,Sandar
1501,1501,1968,Ålesund
1531,1501,1968,Borgund (Møre og Romsdal)
1804,1804,1968,Bodø
1843,1804,1968,Bodin
904,904,1971,Grimstad
923,904,1971,Fjære
924,904,1971,Landvik
1248,1201,1972,Laksevåg
1249,1201,1972,Fana
1250,1201,1972,Arna
1255,1201,1972,Åsane
1301,1201,1972,Bergen
1644,1644,1972,Ålen
1645,1644,1972,Haltdalen
1805,1805,1974,Narvik
1855,1805,1974,Ankenes
435,436,1976,Tolga-Os
435,441,1976,Tolga-Os
1858,1859,1976,Moskenes
1858,1874,1976,Moskenes
518,516,1977,Fron
518,519,1977,Fron
601,605,1977,Ringerike
601,612,1977,Ringerike
1230,1231,1977,Ullensvang
1230,1232,1977,Ullensvang
1448,1444,1977,Stryn
1448,1449,1977,Stryn
1501,1504,1977,Ålesund
1527,1523,1977,Ørskog
1527,1526,1977,Ørskog
1527,1529,1977,Ørskog
1501,1531,1977,Ålesund
1814,1812,1977,Brønnøy
1814,1813,1977,Brønnøy
1921,1920,1977,Salangen
1921,1923,1977,Salangen
703,701,1988,Horten
717,701,1988,Borre
705,704,1988,Tønsberg
721,704,1988,Sem
707,709,1988,Larvik
708,709,1988,Stavern
725,709,1988,Tjølling
726,709,1988,Brunlanes
727,709,1988,Hedrum
2011,2011,1988,Kautokeino
2027,2027,1990,Nesseby
2021,2021,1991,Karasjok
102,105,1992,Sarpsborg
114,105,1992,Varteig
115,105,1992,Skjeberg
130,105,1992,Tune
114,128,1992,Varteig
401,403,1992,Hamar
412,403,1992,Ringsaker
414,403,1992,Vang (Hedmark)
412,412,1992,Ringsaker
903,906,1992,Arendal
918,906,1992,Moland
920,906,1992,Øyestad
921,906,1992,Tromøy
922,906,1992,Hisøy
2001,2004,1992,Hammerfest by
2016,2004,1992,Sørøysund
2025,2025,1993,Tana
103,106,1994,Fredrikstad
113,106,1994,Borge (Østfold)
131,106,1994,Rolvsøy
133,106,1994,Kråkerøy
134,106,1994,Onsøy
1940,1940,1995,Kåfjord
716,716,2002,Våle
718,716,2002,Ramnes
1214,1159,2002,Ølen
701,701,2003, Borre 
2020,2020,2004,Porsanger
1804,1804,2005,Bodø
1842,1804,2005,Skjerstad
1154,1160,2006,Vindafjord
1159,1160,2006,Ølen
1569,1576,2006,Aure
1572,1576,2006,Tustna
1503,1505,2008,Kristiansund
1556,1505,2008,Frei
1736,1736,2011,Snåsa
1723,1756,2012,Mosvik
1729,1756,2012,Inderøy
1849,1849,2012,Hamarøy
1850,1850,2012,Tysfjord
1901,1903,2013,Harstad
1915,1903,2013,Bjarkøy
1739,1739,2015,Røyrvik
1920,1920,2015,Lavangen
1939,1939,2015,Storfjord
704,704,2017,Tønsberg
720,704,2017,Stokke
706,710,2017,Sandefjord
719,710,2017,Andebu
720,710,2017,Stokke
1841,1841,2017,Fauske
709,712,2018,Larvik
728,712,2018,Lardal
702,715,2018,Holmestrand
714,715,2018,Hof
722,729,2018,Nøtterøy
723,729,2018,Tjøme
1852,1852,2018,Tjeldsund
1870,1870,2018,Sortland
1903,1903,2018,Harstad
1940,1940,2018,Gáivuotna - Kåfjord
1601,5001,2018,Trondheim
1702,5004,2018,Steinkjer
1703,5005,2018,Namsos
1612,5011,2018,Hemne
1613,5012,2018,Snillfjord
1617,5013,2018,Hitra
1620,5014,2018,Frøya
1621,5015,2018,Ørland
1622,5016,2018,Agdenes
1627,5017,2018,Bjugn
1630,5018,2018,Åfjord
1632,5019,2018,Roan
1633,5020,2018,Osen
1634,5021,2018,Oppdal
1635,5022,2018,Rennebu
1636,5023,2018,Meldal
1638,5024,2018,Orkdal
1640,5025,2018,Røros
1644,5026,2018,Holtålen
1648,5027,2018,Midtre Gauldal
1653,5028,2018,Melhus
1657,5029,2018,Skaun
1662,5030,2018,Klæbu
1663,5031,2018,Malvik
1664,5032,2018,Selbu
1665,5033,2018,Tydal
1711,5034,2018,Meråker
1714,5035,2018,Stjørdal
1717,5036,2018,Frosta
1719,5037,2018,Levanger
1721,5038,2018,Verdal
1724,5039,2018,Verran
1725,5040,2018,Namdalseid
1736,5041,2018,Snåase - Snåsa
1738,5042,2018,Lierne
1739,5043,2018,Raarvihke - Røyrvik
1740,5044,2018,Namsskogan
1742,5045,2018,Grong
1743,5046,2018,Høylandet
1744,5047,2018,Overhalla
1748,5048,2018,Fosnes
1749,5049,2018,Flatanger
1750,5050,2018,Vikna
1751,5051,2018,Nærøy
1755,5052,2018,Leka
1756,5053,2018,Inderøy
1624,5054,2018,Rissa
1718,5054,2018,Leksvik
1942,1942,2019,Nordreisa
2004,2004,2019,Hammerfest
5005,5005,2019,Namsos
1567,5061,2019,Rindal
1103,1103,2020,Stavanger
1141,1103,2020,Finnøy
1142,1103,2020,Rennesøy
1102,1108,2020,Sandnes
1129,1108,2020,Forsand
1502,1506,2020,Molde
1543,1506,2020,Nesset
1545,1506,2020,Midsund
1504,1507,2020,Ålesund
1523,1507,2020,Ørskog
1529,1507,2020,Skodje
1534,1507,2020,Haram
1546,1507,2020,Sandøy
1514,1514,2020,Sande (Møre og Romsdal)
1444,1577,2020,Hornindal
1519,1577,2020,Volda
1524,1578,2020,Norddal
1526,1578,2020,Stordal
1548,1579,2020,Fræna
1551,1579,2020,Eide
1805,1806,2020,Narvik
1850,1806,2020,Tysfjord - Divtasvuodna
1854,1806,2020,Ballangen
1826,1826,2020,Hattfjelldal
1867,1867,2020,Bø (Nordland)
1849,1875,2020,Hábmer - Hamarøy
1850,1875,2020,Tysfjord - Divtasvuodna
101,3001,2020,Halden
104,3002,2020,Moss
136,3002,2020,Rygge
105,3003,2020,Sarpsborg
106,3004,2020,Fredrikstad
602,3005,2020,Drammen
625,3005,2020,Nedre Eiker
711,3005,2020,Svelvik
604,3006,2020,Kongsberg
605,3007,2020,Ringerike
111,3011,2020,Hvaler
118,3012,2020,Aremark
119,3013,2020,Marker
122,3014,2020,Trøgstad
123,3014,2020,Spydeberg
124,3014,2020,Askim
125,3014,2020,Eidsberg
138,3014,2020,Hobøl
127,3015,2020,Skiptvet
128,3016,2020,Rakkestad
135,3017,2020,Råde
137,3018,2020,Våler (Østfold)
211,3019,2020,Vestby
213,3020,2020,Ski
217,3020,2020,Oppegård
214,3021,2020,Ås
215,3022,2020,Frogn
216,3023,2020,Nesodden
219,3024,2020,Bærum
220,3025,2020,Asker
627,3025,2020,Røyken
628,3025,2020,Hurum
121,3026,2020,Rømskog
221,3026,2020,Aurskog-Høland
228,3027,2020,Rælingen
229,3028,2020,Enebakk
230,3029,2020,Lørenskog
226,3030,2020,Sørum
227,3030,2020,Fet
231,3030,2020,Skedsmo
233,3031,2020,Nittedal
234,3032,2020,Gjerdrum
235,3033,2020,Ullensaker
236,3034,2020,Nes (Akershus)
237,3035,2020,Eidsvoll
238,3036,2020,Nannestad
239,3037,2020,Hurdal
612,3038,2020,Hole
615,3039,2020,Flå
616,3040,2020,Nes (Buskerud)
617,3041,2020,Gol
618,3042,2020,Hemsedal
619,3043,2020,Ål
620,3044,2020,Hol
621,3045,2020,Sigdal
622,3046,2020,Krødsherad
623,3047,2020,Modum
624,3048,2020,Øvre Eiker
626,3049,2020,Lier
631,3050,2020,Flesberg
632,3051,2020,Rollag
633,3052,2020,Nore og Uvdal
532,3053,2020,Jevnaker
533,3054,2020,Lunner
402,3401,2020,Kongsvinger
403,3403,2020,Hamar
501,3405,2020,Lillehammer
502,3407,2020,Gjøvik
412,3411,2020,Ringsaker
415,3412,2020,Løten
417,3413,2020,Stange
418,3414,2020,Nord-Odal
419,3415,2020,Sør-Odal
420,3416,2020,Eidskog
423,3417,2020,Grue
425,3418,2020,Åsnes
426,3419,2020,Våler (Hedmark)
427,3420,2020,Elverum
428,3421,2020,Trysil
429,3422,2020,Åmot
430,3423,2020,Stor-Elvdal
432,3424,2020,Rendalen
434,3425,2020,Engerdal
436,3426,2020,Tolga
437,3427,2020,Tynset
438,3428,2020,Alvdal
439,3429,2020,Folldal
441,3430,2020,Os (Hedmark)
511,3431,2020,Dovre
512,3432,2020,Lesja
513,3433,2020,Skjåk
514,3434,2020,Lom
515,3435,2020,Vågå
516,3436,2020,Nord-Fron
517,3437,2020,Sel
519,3438,2020,Sør-Fron
520,3439,2020,Ringebu
521,3440,2020,Øyer
522,3441,2020,Gausdal
528,3442,2020,Østre Toten
529,3443,2020,Vestre Toten
534,3446,2020,Gran
536,3447,2020,Søndre Land
538,3448,2020,Nordre Land
540,3449,2020,Sør-Aurdal
541,3450,2020,Etnedal
542,3451,2020,Nord-Aurdal
543,3452,2020,Vestre Slidre
544,3453,2020,Øystre Slidre
545,3454,2020,Vang
701,3801,2020,Horten
713,3802,2020,Sande (Vestfold)
715,3802,2020,Holmestrand
704,3803,2020,Tønsberg
716,3803,2020,Re
710,3804,2020,Sandefjord
712,3805,2020,Larvik
805,3806,2020,Porsgrunn
806,3807,2020,Skien
807,3808,2020,Notodden
729,3811,2020,Færder
811,3812,2020,Siljan
814,3813,2020,Bamble
815,3814,2020,Kragerø
817,3815,2020,Drangedal
819,3816,2020,Nome
821,3817,2020,Bø (Telemark)
822,3817,2020,Sauherad
826,3818,2020,Tinn
827,3819,2020,Hjartdal
828,3820,2020,Seljord
829,3821,2020,Kviteseid
830,3822,2020,Nissedal
831,3823,2020,Fyresdal
833,3824,2020,Tokke
834,3825,2020,Vinje
901,4201,2020,Risør
904,4202,2020,Grimstad
906,4203,2020,Arendal
1001,4204,2020,Kristiansand
1017,4204,2020,Songdalen
1018,4204,2020,Søgne
1002,4205,2020,Mandal
1021,4205,2020,Marnardal
1029,4205,2020,Lindesnes
1003,4206,2020,Farsund
1004,4207,2020,Flekkefjord
911,4211,2020,Gjerstad
912,4212,2020,Vegårshei
914,4213,2020,Tvedestrand
919,4214,2020,Froland
926,4215,2020,Lillesand
928,4216,2020,Birkenes
929,4217,2020,Åmli
935,4218,2020,Iveland
937,4219,2020,Evje og Hornnes
938,4220,2020,Bygland
940,4221,2020,Valle
941,4222,2020,Bykle
1014,4223,2020,Vennesla
1026,4224,2020,Åseral
1027,4225,2020,Audnedal
1032,4225,2020,Lyngdal
1034,4226,2020,Hægebostad
1037,4227,2020,Kvinesdal
1046,4228,2020,Sirdal
1201,4601,2020,Bergen
1401,4602,2020,Flora
1439,4602,2020,Vågsøy
1211,4611,2020,Etne
1216,4612,2020,Sveio
1219,4613,2020,Bømlo
1221,4614,2020,Stord
1222,4615,2020,Fitjar
1223,4616,2020,Tysnes
1224,4617,2020,Kvinnherad
1227,4618,2020,Jondal
1228,4618,2020,Odda
1231,4618,2020,Ullensvang
1232,4619,2020,Eidfjord
1233,4620,2020,Ulvik
1234,4621,2020,Granvin
1235,4621,2020,Voss
1238,4622,2020,Kvam
1242,4623,2020,Samnanger
1241,4624,2020,Fusa
1243,4624,2020,Os (Hordaland)
1244,4625,2020,Austevoll
1245,4626,2020,Sund
1246,4626,2020,Fjell
1259,4626,2020,Øygarden
1247,4627,2020,Askøy
1251,4628,2020,Vaksdal
1252,4629,2020,Modalen
1253,4630,2020,Osterøy
1256,4631,2020,Meland
1260,4631,2020,Radøy
1263,4631,2020,Lindås
1264,4632,2020,Austrheim
1265,4633,2020,Fedje
1266,4634,2020,Masfjorden
1411,4635,2020,Gulen
1412,4636,2020,Solund
1413,4637,2020,Hyllestad
1416,4638,2020,Høyanger
1417,4639,2020,Vik
1418,4640,2020,Balestrand
1419,4640,2020,Leikanger
1420,4640,2020,Sogndal
